Order_ID,Destination_Country,Supplier_ID,Product_Category,Order_Quantity,Order_Date,Dispatch_Date,Delivery_Date,Shipping_Mode,Sales_Value,Delay_Days,Disruption_Type,Disruption_Severity,Historical_Disruption_Count,Supplier_Reliability_Score,Origin_Warehouse,Dominant_Buyer_Flag,Available_Historical_Records,Data_Sharing_Consent,Federated_Round,Parameter_Change_Magnitude,Communication_Cost_MB,Energy_Consumption_Joules,Delivery_Status,Days_Real,Days_Scheduled,Transport_Cost,Benefit_per_Order,Unit_Price,Customer_Priority,Month,Quarter,Day_of_Week,Is_Peak_Season,Is_Winter,Route_Volatility,Country_Risk_Score,Mode_Risk_Score,Supplier_Risk_Score,MA_30_Delay_Rate,MA_90_Delay_Rate,EMA_Delay,Value_Quantity_Ratio,Cost_Benefit_Ratio,Priority_Risk,Supplier_Centrality,Warehouse_Centrality,Is_Anomaly
O1045,B29,S16,Electronics,322,2023-01-04,2023-01-08,2023-01-16,Air,20442.23,2,Weather,Low,1,0.76,Org3,0,666,1,4,0.3739,1.16,454.05,1,12,10,4088.446,5110.5575,63.28863777089783,Standard,1,1,2,0,1,3.958114029012639,0.5172413793103449,0.4752851711026616,0.5227272727272727,1.0,1.0,12.0,63.28863777089783,0.7998434919298081,1,0.0,0.006973115435136609,0
O1862,B3,S18,Food,571,2023-01-04,2023-01-05,2023-01-15,Rail,21901.14,2,Weather,Low,16,0.6,Org5,0,352,0,5,0.4823,3.08,92.86,1,11,9,1927.3003200000003,5475.285,38.28870629370629,Standard,1,1,2,0,1,3.7859388972001824,0.5714285714285714,0.5372549019607843,0.5862068965517241,1.0,1.0,11.0,38.28870629370629,0.35193572284861,1,0.0,0.008116810433191533,0
O1565,B37,S19,Textiles,319,2023-01-05,2023-01-06,2023-01-10,Rail,35206.41,0,,,15,0.91,Org18,0,573,1,6,0.0373,2.53,301.28,0,5,5,3098.164080000001,8801.6025,110.02003125000002,Standard,1,1,3,0,1,3.420526275297414,0.5882352941176471,0.5372549019607843,0.48148148148148145,0.0,0.0,5.0,110.02003125000002,0.3519600118260481,1,0.0,0.008513574435852439,0
O1185,B47,S28,Textiles,461,2023-01-05,2023-01-07,2023-01-24,Road,38622.83,10,Customs,High,7,0.66,Org15,0,925,1,2,0.4609,4.27,252.18,1,19,9,3089.8264000000004,9655.7075,83.59919913419914,Standard,1,1,3,0,1,4.67325215607779,0.5384615384615384,0.51171875,0.42857142857142855,1.0,1.0,19.0,83.59919913419914,0.3199668624114379,1,0.0,0.00731599574477635,0
O1464,B40,S11,Pharma,992,2023-01-05,2023-01-09,2023-01-17,Air,40947.84,0,,,9,0.51,Org6,0,396,1,10,0.3428,2.48,477.04,0,12,12,8189.567999999999,10236.96,41.236495468277944,Standard,1,1,3,0,1,4.3369947901195145,0.5666666666666667,0.4752851711026616,0.4375,0.0,0.0,12.0,41.236495468277944,0.7999218594329339,1,0.0,0.006359995948786011,0
O1415,B28,S21,Machinery,886,2023-01-05,2023-01-09,2023-01-11,Sea,35611.38,0,,,4,0.91,Org20,0,716,0,8,0.2261,3.95,221.4,0,6,6,1994.2372799999996,8902.845,40.14811724915445,Standard,1,1,3,0,1,4.919349550499538,0.4444444444444444,0.5353982300884956,0.6923076923076923,0.0,0.0,6.0,40.14811724915445,0.2239748423293532,1,0.0,0.007535295246061373,0
O1515,B27,S20,Food,349,2023-01-07,2023-01-11,2023-01-14,Air,14253.71,2,Strike,Low,1,0.74,Org19,1,339,1,4,0.3393,4.51,222.16,1,7,5,2850.7419999999997,3563.4275,40.72488571428571,Enterprise,1,1,5,0,1,4.147288270665544,0.5,0.4752851711026616,0.44,1.0,1.0,7.0,40.72488571428571,0.7997755600303275,3,0.0,0.009225475383074788,0
O1996,B45,S2,Electronics,419,2023-01-07,2023-01-10,2023-01-19,Rail,46929.28,3,Customs,Medium,17,0.74,Org20,0,188,1,3,0.0678,2.4,69.62,1,12,9,4129.77664,11732.32,111.73638095238096,Standard,1,1,5,0,1,5.639993245521116,0.391304347826087,0.5372549019607843,0.6153846153846154,1.0,1.0,13.424999999999999,111.73638095238096,0.35196999996590905,1,0.0,0.007535295246061373,0
O1601,B39,S29,Textiles,12,2023-01-07,2023-01-09,2023-01-14,Rail,13904.91,3,Shortage,Low,8,0.72,Org3,0,80,1,10,0.1176,4.16,289.8,1,7,4,1223.63208,3476.2275,1069.6084615384616,Standard,1,1,5,0,1,4.347960660443228,0.65,0.5372549019607843,0.6,1.0,1.0,7.0,1069.6084615384616,0.3518987699251775,1,0.0,0.006973115435136609,0
O1075,B50,S28,Pharma,510,2023-01-08,2023-01-11,2023-01-20,Rail,7572.36,3,Weather,Low,17,0.53,Org19,0,750,1,7,0.3697,4.24,85.61,1,12,9,666.3676800000001,1893.09,14.818708414872798,Standard,1,1,6,0,1,3.5118845842842465,0.5833333333333334,0.5372549019607843,0.42857142857142855,1.0,1.0,12.0,14.818708414872798,0.351814158778094,1,0.0,0.009225475383074788,0
O1178,B26,S5,Machinery,97,2023-01-08,2023-01-09,2023-01-13,Sea,15937.26,0,,,12,0.56,Org1,0,403,1,10,0.2609,0.88,354.65,0,5,5,892.4865599999999,3984.315,162.62510204081633,Standard,1,1,6,0,1,2.5,0.5652173913043478,0.5353982300884956,0.59375,0.0,0.0,5.0,162.62510204081633,0.22394379365244652,1,0.0,0.007935541285472168,0
O1677,B41,S4,Food,580,2023-01-08,2023-01-10,2023-01-13,Road,47085.48,0,,,19,0.64,Org20,1,396,0,8,0.3061,4.43,101.94,0,5,5,3766.8384000000005,11771.37,81.04213425129089,Enterprise,1,1,6,0,1,2.8809720581775866,0.4444444444444444,0.51171875,0.5714285714285714,0.0,0.0,5.0,81.04213425129089,0.3199728177079042,3,0.0,0.007535295246061373,0
O1699,B25,S5,Pharma,544,2023-01-08,2023-01-10,2023-01-11,Air,36077.61,0,,,8,0.95,Org4,1,385,1,4,0.1302,2.02,164.25,0,3,3,7215.522,9019.4025,66.1974495412844,Enterprise,1,1,6,0,1,4.535048695071164,0.6363636363636364,0.4752851711026616,0.59375,0.0,0.0,3.0,66.1974495412844,0.7999113121615138,3,0.0,0.00860800604698164,1
O1337,B23,S5,Textiles,415,2023-01-09,2023-01-11,2023-01-13,Air,11432.21,0,,,0,0.65,Org13,0,852,1,7,0.2707,1.93,113.26,0,4,4,2286.442,2858.0525,27.481274038461535,Standard,1,1,0,0,1,2.4784787961282104,0.48,0.4752851711026616,0.59375,0.0,0.0,4.0,27.481274038461535,0.7997201870200006,1,0.0,0.007393033820422956,0
O1658,B47,S12,Electronics,358,2023-01-10,2023-01-12,2023-01-17,Road,44143.69,0,,,9,0.59,Org18,0,345,1,2,0.4234,4.16,116.76,0,7,7,3531.4952000000003,11035.9225,122.96292479108635,Standard,1,1,1,0,1,4.67325215607779,0.5384615384615384,0.51171875,0.38235294117647056,0.5,0.5,12.700000000000001,122.96292479108635,0.31997100641052795,1,0.0,0.008513574435852439,0
O1339,B50,S26,Textiles,321,2023-01-10,2023-01-14,2023-01-15,Rail,2282.93,0,,,4,0.54,Org5,0,998,1,4,0.0892,2.16,354.15,0,5,5,200.89784,570.7325,7.0898447204968935,Standard,1,1,1,0,1,3.5118845842842465,0.5833333333333334,0.5372549019607843,0.5476190476190477,0.5,0.5,8.325000000000001,7.0898447204968935,0.3513843274608318,1,0.0,0.008116810433191533,0
O1735,B22,S22,Pharma,464,2023-01-10,2023-01-12,2023-01-20,Road,17191.73,0,,,12,0.66,Org18,0,462,1,9,0.1629,3.4,74.01,0,10,10,1375.3384,4297.9325,36.9714623655914,Standard,1,1,1,0,1,4.693375946776241,0.6,0.51171875,0.48484848484848486,0.0,0.0,10.0,36.9714623655914,0.31992556291590996,1,0.0,0.008513574435852439,0
O1106,B28,S22,Food,444,2023-01-10,2023-01-13,2023-01-18,Rail,48221.88,3,Shortage,Low,9,0.82,Org2,0,213,1,9,0.3553,2.9,171.5,1,8,5,4243.52544,12055.47,108.36377528089886,Standard,1,1,1,0,1,1.1547005383792517,0.4444444444444444,0.5372549019607843,0.48484848484848486,0.5,0.5,7.050000000000001,108.36377528089886,0.3519708040579042,1,0.0,0.0059595845708017865,0
O1817,B18,S2,Electronics,391,2023-01-10,2023-01-14,2023-01-17,Rail,45457.31,0,,,12,0.65,Org14,0,814,1,7,0.0504,0.97,354.02,0,7,7,4000.2432800000006,11364.3275,115.96252551020407,Standard,1,1,1,0,1,2.5099800796022267,0.55,0.5372549019607843,0.6153846153846154,0.0,0.0,7.0,115.96252551020407,0.35196902860916246,1,0.0,0.0061333929310665464,0
O1734,B45,S3,Electronics,423,2023-01-11,2023-01-15,2023-01-17,Sea,6301.59,0,,,0,0.53,Org11,1,473,1,7,0.0154,2.3,425.66,0,6,6,352.88903999999997,1575.3975,14.862240566037736,Enterprise,1,1,2,0,1,4.219004621945797,0.391304347826087,0.5353982300884956,0.5,0.6666666666666666,0.6666666666666666,10.698584512905912,14.862240566037736,0.2238579038599084,3,0.0,0.01038967481226203,0
O1374,B9,S24,Electronics,117,2023-01-11,2023-01-14,2023-01-21,Road,32905.21,5,Customs,Medium,16,0.64,Org18,0,975,1,3,0.2182,1.85,105.05,1,10,5,2632.4168,8226.3025,278.8577118644068,Standard,1,1,2,0,1,5.263078946776307,0.42857142857142855,0.51171875,0.5208333333333334,1.0,1.0,10.0,278.8577118644068,0.3199611051131279,1,0.0,0.008513574435852439,0
O1006,B34,S30,Food,849,2023-01-12,2023-01-14,2023-01-23,Road,14298.61,0,,,19,0.6,Org16,0,854,1,10,0.0935,2.41,386.85,0,11,11,1143.8888000000002,3574.6525,16.82189411764706,Standard,1,1,3,0,1,2.7838821814150108,0.4074074074074074,0.51171875,0.46153846153846156,0.0,0.0,11.0,16.82189411764706,0.31991050584473746,1,0.0,0.007974062043644422,0
O1004,B5,S4,Machinery,897,2023-01-12,2023-01-14,2023-01-16,Road,18256.42,0,,,5,0.6,Org13,0,789,1,7,0.2775,3.42,83.1,0,4,4,1460.5136,4564.105,20.330089086859687,Standard,1,1,3,0,1,3.0550504633038935,0.4117647058823529,0.51171875,0.5714285714285714,0.0,0.0,4.0,20.330089086859687,0.3199299030361843,1,0.0,0.007393033820422956,0
O1452,B10,S19,Machinery,168,2023-01-12,2023-01-13,2023-01-15,Road,8570.25,0,,,4,0.77,Org14,0,858,1,4,0.2049,4.96,480.45,0,3,3,685.62,2142.5625,50.71153846153846,Standard,1,1,3,0,1,2.753785273643051,0.6,0.51171875,0.48148148148148145,0.0,0.0,3.0,50.71153846153846,0.3198507158060472,1,0.0,0.0061333929310665464,0
O1829,B6,S12,Electronics,668,2023-01-12,2023-01-14,2023-01-19,Road,16034.43,1,Customs,Medium,19,0.6,Org12,0,675,1,8,0.0463,2.58,100.24,1,7,6,1282.7544,4008.6075,23.967757847533633,Standard,1,1,3,0,1,1.5735915849388864,0.5833333333333334,0.51171875,0.38235294117647056,1.0,1.0,7.0,23.967757847533633,0.3199201916895856,1,0.0,0.006080542456911186,0
O1546,B20,S2,Machinery,719,2023-01-12,2023-01-14,2023-01-18,Rail,13736.4,0,,,14,0.69,Org18,0,262,0,2,0.3023,4.89,182.25,0,6,6,1208.8032,3434.1,19.078333333333333,Standard,1,1,3,0,1,1.6733200530681511,0.47619047619047616,0.5372549019607843,0.6153846153846154,0.0,0.0,6.0,19.078333333333333,0.3518975284562313,1,0.0,0.008513574435852439,0
O1154,B2,S13,Food,400,2023-01-12,2023-01-15,2023-01-24,Rail,10361.16,3,Shortage,Medium,16,0.87,Org17,0,984,1,4,0.4843,2.64,98.04,1,12,9,911.7820800000001,2590.29,25.838304239401495,Standard,1,1,3,0,1,3.6620642110310255,0.5882352941176471,0.5372549019607843,0.5555555555555556,1.0,1.0,12.0,25.838304239401495,0.3518641603216931,1,0.0,0.009324750764963217,0
O1267,B32,S13,Electronics,736,2023-01-12,2023-01-13,2023-01-20,Rail,48051.04,0,,,14,0.66,Org13,0,959,1,7,0.4005,4.04,75.24,0,8,8,4228.4915200000005,12012.76,65.19815468113975,Standard,1,1,3,0,1,1.7873008824606014,0.5238095238095238,0.5372549019607843,0.5555555555555556,0.0,0.0,8.0,65.19815468113975,0.35197070026369764,1,0.0,0.007393033820422956,0
O1502,B37,S28,Machinery,327,2023-01-12,2023-01-14,2023-01-26,Rail,21921.96,5,Shortage,High,1,0.6,Org5,1,410,1,10,0.2248,0.6,330.12,1,14,9,1929.13248,5480.49,66.83524390243902,Enterprise,1,1,3,0,1,3.420526275297414,0.5882352941176471,0.5372549019607843,0.42857142857142855,0.5,0.5,9.725000000000001,66.83524390243902,0.3519357838835791,3,0.0,0.008116810433191533,0
O1618,B41,S4,Textiles,997,2023-01-13,2023-01-16,2023-01-23,Road,37026.91,1,Customs,Low,4,0.73,Org2,0,404,1,2,0.3086,1.24,326.81,1,10,9,2962.1528000000003,9256.7275,37.101112224448904,Standard,1,1,4,0,1,2.8809720581775866,0.4444444444444444,0.51171875,0.5714285714285714,0.5,0.5,7.625,37.101112224448904,0.31996543428179325,1,0.0,0.0059595845708017865,0
O1823,B49,S24,Food,312,2023-01-13,2023-01-14,2023-01-23,Sea,31803.37,2,Weather,High,18,0.97,Org19,1,23,1,10,0.3581,4.09,485.67,1,10,8,1780.98872,7950.8425,101.6082108626198,Enterprise,1,1,4,0,1,3.331666249791536,0.5263157894736842,0.5353982300884956,0.5208333333333334,1.0,1.0,10.0,101.6082108626198,0.22397183042797944,3,0.0,0.009225475383074788,0
O1080,B22,S14,Machinery,72,2023-01-14,2023-01-18,2023-01-25,Sea,7124.5,1,Customs,Low,12,0.79,Org20,0,398,0,6,0.4665,4.69,281.97,1,11,10,398.972,1781.125,97.5958904109589,Standard,1,1,5,0,1,3.3380918415851206,0.6,0.5353982300884956,0.43333333333333335,0.5,0.5,10.525,97.5958904109589,0.22387430735778915,1,0.0,0.007535295246061373,0
O1089,B1,S29,Food,93,2023-01-14,2023-01-18,2023-01-19,Road,35495.34,0,,,3,0.58,Org3,1,431,1,5,0.3724,0.81,274.39,0,5,5,2839.6272,8873.835,377.60999999999996,Enterprise,1,1,5,0,1,5.40318835914911,0.55,0.51171875,0.6,0.0,0.0,5.0,377.60999999999996,0.3199639429916162,3,0.0,0.006973115435136609,0
O1003,B6,S10,Machinery,142,2023-01-14,2023-01-17,2023-01-20,Rail,15320.08,0,,,17,0.92,Org18,1,807,1,9,0.2611,3.59,377.47,0,6,6,1348.1670400000003,3830.02,107.13342657342658,Enterprise,1,1,5,0,1,2.160246899469287,0.5833333333333334,0.5372549019607843,0.41025641025641024,0.5,0.5,6.475,107.13342657342658,0.35190811846453435,3,0.0,0.008513574435852439,0
O1831,B36,S18,Food,462,2023-01-14,2023-01-16,2023-01-19,Sea,11138.18,2,Strike,Medium,12,0.67,Org15,0,569,0,7,0.3116,4.05,363.65,1,5,3,623.73808,2784.545,24.056544276457885,Standard,1,1,5,0,1,2.7080128015453204,0.5263157894736842,0.5353982300884956,0.5862068965517241,1.0,1.0,11.65,24.056544276457885,0.22391958485682334,1,0.0,0.00731599574477635,0
O1604,B48,S24,Food,790,2023-01-14,2023-01-16,2023-01-21,Air,23217.56,2,Customs,Low,18,0.9,Org19,1,603,1,8,0.1202,3.74,348.96,1,7,5,4643.512000000001,5804.39,29.352161820480408,Enterprise,1,1,5,0,1,6.347102826149446,0.6111111111111112,0.4752851711026616,0.5208333333333334,1.0,1.0,7.0,29.352161820480408,0.7998621970272455,3,0.0,0.009225475383074788,0
O1516,B32,S16,Pharma,398,2023-01-14,2023-01-16,2023-01-21,Air,14177.8,1,Shortage,High,9,0.88,Org19,0,372,1,5,0.2351,2.0,196.62,1,7,6,2835.56,3544.45,35.53333333333333,Standard,1,1,5,0,1,5.418589402336286,0.5238095238095238,0.4752851711026616,0.5227272727272727,0.5,0.5,7.475,35.53333333333333,0.7997743586850753,1,0.0,0.009225475383074788,0
O1864,B45,S3,Food,396,2023-01-14,2023-01-15,2023-01-18,Rail,13349.03,0,,,0,0.96,Org13,1,555,0,9,0.1214,2.29,402.39,0,4,4,1174.7146400000004,3337.2575,33.624760705289674,Enterprise,1,1,5,0,1,5.639993245521116,0.391304347826087,0.5372549019607843,0.5,0.5,0.5,8.764806733167083,33.624760705289674,0.35189455576749257,3,0.0,0.007393033820422956,0
O1650,B3,S20,Pharma,974,2023-01-17,2023-01-20,2023-01-25,Road,20778.72,0,,,16,0.75,Org19,0,470,1,2,0.1844,4.06,337.97,0,8,8,1662.2976,5194.68,21.311507692307693,Standard,1,1,1,0,1,4.857983120596447,0.5714285714285714,0.51171875,0.44,0.5,0.5,9.425,21.311507692307693,0.3199384103716934,1,0.0,0.009225475383074788,0
O1684,B15,S26,Food,354,2023-01-17,2023-01-20,2023-01-27,Sea,43011.43,2,Shortage,Low,8,0.65,Org13,0,871,1,7,0.4129,3.94,231.84,1,10,8,2408.64008,10752.8575,121.15895774647888,Standard,1,1,1,0,1,0.0,0.5882352941176471,0.5353982300884956,0.5476190476190477,1.0,1.0,10.0,121.15895774647888,0.2239791702651816,1,0.0,0.007393033820422956,0
O1069,B44,S26,Textiles,191,2023-01-18,2023-01-19,2023-01-22,Sea,12475.62,0,,,11,0.52,Org17,0,868,1,1,0.0692,3.3,115.3,0,4,4,698.63472,3118.905,64.9771875,Standard,1,1,2,0,1,3.8544964466377265,0.5714285714285714,0.5353982300884956,0.5476190476190477,0.5,0.5,8.75,64.9771875,0.22392820294207674,1,0.0,0.009324750764963217,0
O1757,B29,S17,Pharma,927,2023-01-18,2023-01-22,2023-01-29,Sea,42244.65,5,Customs,Low,13,0.77,Org19,1,709,1,4,0.4993,2.06,317.55,1,11,6,2365.7003999999997,10561.1625,45.52225215517242,Enterprise,1,1,2,0,1,3.295017884191656,0.5172413793103449,0.5353982300884956,0.5666666666666667,1.0,1.0,11.475000000000001,45.52225215517242,0.22397879222176326,3,0.0,0.009225475383074788,0
O1393,B22,S3,Electronics,21,2023-01-19,2023-01-20,2023-01-29,Rail,36602.57,1,Shortage,Low,14,0.87,Org7,0,582,0,1,0.4078,1.05,172.38,1,10,9,3221.0261600000003,9150.6425,1663.7531818181817,Standard,1,1,3,0,1,4.857983120596447,0.6,0.5372549019607843,0.5,0.6666666666666666,0.6666666666666666,10.332223147377187,1663.7531818181817,0.35196153695907595,1,0.0,0.007518877169464679,0
O1231,B13,S11,Electronics,876,2023-01-19,2023-01-23,2023-01-28,Rail,19714.2,0,,,18,0.51,Org14,0,122,1,2,0.1693,3.84,410.16,0,9,9,1734.8496000000005,4928.55,22.47913340935006,Standard,1,1,3,0,1,5.047394424471945,0.5263157894736842,0.5372549019607843,0.4375,0.5,0.5,15.175,22.47913340935006,0.35192859388788034,1,0.0,0.0061333929310665464,0
O1794,B23,S26,Textiles,294,2023-01-19,2023-01-21,2023-02-02,Rail,914.0,3,Shortage,High,10,0.88,Org10,1,927,1,10,0.2288,0.58,226.6,1,14,11,80.43200000000002,228.5,3.0983050847457627,Enterprise,1,1,3,0,1,3.6209268304000717,0.48,0.5372549019607843,0.5476190476190477,0.5,0.5,9.250000000000002,3.0983050847457627,0.3504662309368192,3,0.0,0.008569248578888801,0
O1890,B16,S10,Pharma,735,2023-01-19,2023-01-22,2023-01-28,Sea,2497.37,0,,,10,0.84,Org16,0,875,1,2,0.3953,3.06,192.6,0,9,9,139.85272,624.3425,3.393165760869565,Standard,1,1,3,0,1,2.692582403567252,0.4090909090909091,0.5353982300884956,0.41025641025641024,0.0,0.0,9.950000000000001,3.393165760869565,0.22364179629563002,1,0.0,0.007974062043644422,0
O1353,B48,S19,Textiles,491,2023-01-19,2023-01-20,2023-01-21,Sea,44681.63,0,,,16,0.63,Org1,1,38,1,5,0.0653,4.71,349.63,0,2,2,2502.1712799999996,11170.4075,90.81632113821138,Enterprise,1,1,3,0,1,2.0,0.6111111111111112,0.5353982300884956,0.48148148148148145,0.5,0.5,4.375,90.81632113821138,0.2239799488112845,3,0.0,0.007935541285472168,1
O1554,B28,S18,Machinery,854,2023-01-20,2023-01-24,2023-02-05,Sea,13919.26,3,Shortage,Low,10,0.86,Org11,1,557,0,6,0.1528,4.44,272.11,1,16,13,779.4785599999999,3479.815,16.27983625730994,Enterprise,1,1,4,0,1,4.919349550499538,0.4444444444444444,0.5353982300884956,0.5862068965517241,0.6666666666666666,0.6666666666666666,10.336386344712741,16.27983625730994,0.22393564725502502,3,0.0,0.01038967481226203,0
O1858,B3,S25,Electronics,529,2023-01-20,2023-01-23,2023-02-09,Air,9792.26,10,Customs,High,5,0.62,Org10,0,197,1,10,0.4897,2.5,163.6,1,20,10,1958.452,2448.065,18.475962264150944,Standard,1,1,4,0,1,3.6425069859723185,0.5714285714285714,0.4752851711026616,0.4888888888888889,0.6666666666666666,0.6666666666666666,13.308076602830976,18.475962264150944,0.799673344725436,1,0.0,0.008569248578888801,1
O1141,B21,S22,Machinery,652,2023-01-20,2023-01-22,2023-01-27,Road,23877.95,0,,,16,0.67,Org7,0,341,1,3,0.3366,1.67,399.47,0,7,7,1910.236,5969.4875,36.56653905053599,Standard,1,1,4,0,1,0.9574271077563381,0.4444444444444444,0.51171875,0.48484848484848486,0.0,0.0,7.0,36.56653905053599,0.319946403036603,1,0.0,0.007518877169464679,0
O1833,B7,S30,Electronics,516,2023-01-20,2023-01-23,2023-01-26,Air,45438.01,0,,,18,0.92,Org7,0,37,1,3,0.4758,0.8,195.76,0,6,6,9087.602,11359.5025,87.887833655706,Standard,1,1,4,0,1,3.070597894314954,0.30434782608695654,0.4752851711026616,0.46153846153846156,0.0,0.0,6.0,87.887833655706,0.7999295805797323,1,0.0,0.007518877169464679,0
O1048,B4,S18,Pharma,946,2023-01-20,2023-01-24,2023-01-29,Air,14409.72,1,Shortage,Medium,15,0.63,Org17,0,424,1,7,0.0255,3.8,477.58,1,9,8,2881.9439999999995,3602.43,15.216177402323124,Standard,1,1,4,0,1,3.154739442867026,0.48,0.4752851711026616,0.5862068965517241,1.0,1.0,9.0,15.216177402323124,0.7997779893046346,1,0.0,0.009324750764963217,0
O1845,B47,S24,Machinery,533,2023-01-20,2023-01-24,2023-01-26,Air,46983.89,0,,,15,0.99,Org2,0,550,0,4,0.413,4.01,228.62,0,6,6,9396.778,11745.9725,87.9848127340824,Standard,1,1,4,0,1,3.015113445777636,0.5384615384615384,0.4752851711026616,0.5208333333333334,0.3333333333333333,0.3333333333333333,10.239800166527894,87.9848127340824,0.7999318973463163,1,0.0,0.0059595845708017865,1
